value,deviceid,datatype,timestamp
79,BSM_G101,HeartRate,2023-02-02 13:04:57.019550
92,BSM_G101,HeartRate,2023-02-02 13:04:57.631790
91,BSM_G101,HeartRate,2023-02-02 13:04:58.634774
84,BSM_G101,HeartRate,2023-02-02 13:04:59.632895
92,BSM_G101,HeartRate,2023-02-02 13:05:00.633363
49,BSM_G101,HeartRate,2023-02-02 13:05:01.631931
76,BSM_G101,HeartRate,2023-02-02 13:05:02.633015
83,BSM_G101,HeartRate,2023-02-02 13:05:03.632026
92,BSM_G101,HeartRate,2023-02-02 13:05:04.636700
89,BSM_G101,HeartRate,2023-02-02 13:05:05.633450
94,BSM_G101,HeartRate,2023-02-02 13:05:06.827713
71,BSM_G101,HeartRate,2023-02-02 13:05:07.634579
76,BSM_G101,HeartRate,2023-02-02 13:05:08.636234
91,BSM_G101,HeartRate,2023-02-02 13:05:09.636842
79,BSM_G101,HeartRate,2023-02-02 13:05:10.635285
91,BSM_G101,HeartRate,2023-02-02 13:05:11.827227
89,BSM_G101,HeartRate,2023-02-02 13:05:12.635748
99,BSM_G101,HeartRate,2023-02-02 13:05:13.632996
61,BSM_G101,HeartRate,2023-02-02 13:05:14.632342
83,BSM_G101,HeartRate,2023-02-02 13:05:15.636287
91,BSM_G101,HeartRate,2023-02-02 13:05:16.822723
74,BSM_G101,HeartRate,2023-02-02 13:05:17.635046
89,BSM_G101,HeartRate,2023-02-02 13:05:18.636836
91,BSM_G101,HeartRate,2023-02-02 13:05:19.635837
86,BSM_G101,HeartRate,2023-02-02 13:05:20.635637
71,BSM_G101,HeartRate,2023-02-02 13:05:21.633310
96,BSM_G101,HeartRate,2023-02-02 13:05:22.636839
85,BSM_G101,HeartRate,2023-02-02 13:05:23.636847
89,BSM_G101,HeartRate,2023-02-02 13:05:24.632201
65,BSM_G101,HeartRate,2023-02-02 13:05:25.633809
77,BSM_G101,HeartRate,2023-02-02 13:05:27.014058
77,BSM_G101,HeartRate,2023-02-02 13:05:27.633887
102,BSM_G101,HeartRate,2023-02-02 13:05:28.636860
82,BSM_G101,HeartRate,2023-02-02 13:05:29.636838
69,BSM_G101,HeartRate,2023-02-02 13:05:30.636816
93,BSM_G101,HeartRate,2023-02-02 13:05:32.975503
78,BSM_G101,HeartRate,2023-02-02 13:05:33.167893
87,BSM_G101,HeartRate,2023-02-02 13:05:33.635734
67,BSM_G101,HeartRate,2023-02-02 13:05:34.634286
69,BSM_G101,HeartRate,2023-02-02 13:05:35.633028
81,BSM_G101,HeartRate,2023-02-02 13:05:36.632667
81,BSM_G101,HeartRate,2023-02-02 13:05:37.635911
112,BSM_G101,HeartRate,2023-02-02 13:05:38.635599
69,BSM_G101,HeartRate,2023-02-02 13:05:39.632981
102,BSM_G101,HeartRate,2023-02-02 13:05:40.632404
85,BSM_G101,HeartRate,2023-02-02 13:05:45.003655
86,BSM_G101,HeartRate,2023-02-02 13:05:45.184588
92,BSM_G101,HeartRate,2023-02-02 13:05:45.364257
82,BSM_G101,HeartRate,2023-02-02 13:05:45.547708
89,BSM_G101,HeartRate,2023-02-02 13:05:45.729128
92,BSM_G101,HeartRate,2023-02-02 13:05:46.826286
87,BSM_G101,HeartRate,2023-02-02 13:05:47.635790
50,BSM_G101,HeartRate,2023-02-02 13:05:48.631824
87,BSM_G101,HeartRate,2023-02-02 13:05:49.632107
114,BSM_G101,HeartRate,2023-02-02 13:05:50.636831
87,BSM_G101,HeartRate,2023-02-02 13:05:51.636411
108,BSM_G101,HeartRate,2023-02-02 13:05:52.632709
104,BSM_G101,HeartRate,2023-02-02 13:05:53.633804
90,BSM_G101,HeartRate,2023-02-02 13:05:54.632634
87,BSM_G101,HeartRate,2023-02-02 13:05:55.636865
107,BSM_G101,HeartRate,2023-02-02 13:05:56.635817
83,BSM_G101,HeartRate,2023-02-02 13:05:57.632760
73,BSM_G101,HeartRate,2023-02-02 13:05:58.632156
73,BSM_G101,HeartRate,2023-02-02 13:05:59.633561
95,BSM_G101,HeartRate,2023-02-02 13:06:00.633120
87,BSM_G101,HeartRate,2023-02-02 13:06:01.633818
97,BSM_G101,HeartRate,2023-02-02 13:06:02.633337
80,BSM_G101,HeartRate,2023-02-02 13:06:03.636136
77,BSM_G101,HeartRate,2023-02-02 13:06:04.632322
52,BSM_G101,HeartRate,2023-02-02 13:06:05.636660
61,BSM_G101,HeartRate,2023-02-02 13:06:06.632104
85,BSM_G101,HeartRate,2023-02-02 13:06:07.634465
121,BSM_G101,HeartRate,2023-02-02 13:06:08.631781
82,BSM_G101,HeartRate,2023-02-02 13:06:09.632486
77,BSM_G101,HeartRate,2023-02-02 13:06:10.636701
73,BSM_G101,HeartRate,2023-02-02 13:06:20.642023
98,BSM_G101,HeartRate,2023-02-02 13:06:23.920175
89,BSM_G101,HeartRate,2023-02-02 13:06:24.104207
109,BSM_G101,HeartRate,2023-02-02 13:06:24.288131
78,BSM_G101,HeartRate,2023-02-02 13:06:24.662800
81,BSM_G101,HeartRate,2023-02-02 13:06:24.871162
81,BSM_G101,HeartRate,2023-02-02 13:06:25.054769
108,BSM_G101,HeartRate,2023-02-02 13:06:25.237430
107,BSM_G101,HeartRate,2023-02-02 13:06:25.422922
87,BSM_G101,HeartRate,2023-02-02 13:06:25.686583
95,BSM_G101,HeartRate,2023-02-02 13:06:25.869922
66,BSM_G101,HeartRate,2023-02-02 13:06:26.052127
74,BSM_G101,HeartRate,2023-02-02 13:06:26.234656
63,BSM_G101,HeartRate,2023-02-02 13:06:26.432960
94,BSM_G101,HeartRate,2023-02-02 13:06:27.002844
76,BSM_G101,HeartRate,2023-02-02 13:06:27.634465
85,BSM_G101,HeartRate,2023-02-02 13:06:28.634966
71,BSM_G101,HeartRate,2023-02-02 13:06:29.634853
76,BSM_G101,HeartRate,2023-02-02 13:06:30.634747
72,BSM_G101,HeartRate,2023-02-02 13:06:31.635625
62,BSM_G101,HeartRate,2023-02-02 13:06:32.635330
87,BSM_G101,HeartRate,2023-02-02 13:06:33.635520
96,BSM_G101,HeartRate,2023-02-02 13:06:34.635450
79,BSM_G101,HeartRate,2023-02-02 13:06:35.634819
96,BSM_G101,HeartRate,2023-02-02 13:06:36.821714
84,BSM_G101,HeartRate,2023-02-02 13:06:37.635883
98,BSM_G101,HeartRate,2023-02-02 13:06:38.635523
98,BSM_G101,HeartRate,2023-02-02 13:06:39.632431
104,BSM_G101,HeartRate,2023-02-02 13:06:40.644561
90,BSM_G101,HeartRate,2023-02-02 13:06:41.633917
70,BSM_G101,HeartRate,2023-02-02 13:06:42.635890
81,BSM_G101,HeartRate,2023-02-02 13:06:43.636084
72,BSM_G101,HeartRate,2023-02-02 13:06:44.636164
77,BSM_G101,HeartRate,2023-02-02 13:06:45.632122
73,BSM_G101,HeartRate,2023-02-02 13:06:46.632513
87,BSM_G101,HeartRate,2023-02-02 13:06:47.634359
89,BSM_G101,HeartRate,2023-02-02 13:06:48.636622
63,BSM_G101,HeartRate,2023-02-02 13:06:49.632348
95,BSM_G101,HeartRate,2023-02-02 13:06:50.634097
80,BSM_G101,HeartRate,2023-02-02 13:06:51.633218
82,BSM_G101,HeartRate,2023-02-02 13:06:52.636835
111,BSM_G101,HeartRate,2023-02-02 13:06:53.636463
92,BSM_G101,HeartRate,2023-02-02 13:06:54.636910
68,BSM_G101,HeartRate,2023-02-02 13:06:55.635159
