value,deviceid,datatype,timestamp
100.2,BSM_G101,Temperature,2023-02-02 13:04:56.631848
97.8,BSM_G101,Temperature,2023-02-02 13:05:11.633231
97.3,BSM_G101,Temperature,2023-02-02 13:05:26.632875
98.2,BSM_G101,Temperature,2023-02-02 13:05:41.632658
97.6,BSM_G101,Temperature,2023-02-02 13:05:56.634943
99,BSM_G101,Temperature,2023-02-02 13:06:15.640736
101.8,BSM_G101,Temperature,2023-02-02 13:06:26.634493
100,BSM_G101,Temperature,2023-02-02 13:06:41.633448
102,BSM_G101,Temperature,2023-02-02 13:06:56.634262
98.1,BSM_G101,Temperature,2023-02-02 13:07:11.634469
101.4,BSM_G101,Temperature,2023-02-02 13:07:26.633257
95.1,BSM_G101,Temperature,2023-02-02 13:07:41.634321
98.1,BSM_G101,Temperature,2023-02-02 13:20:30.239493
96.9,BSM_G101,Temperature,2023-02-02 13:20:45.244364
96.8,BSM_G101,Temperature,2023-02-02 13:21:00.247661
96.9,BSM_G101,Temperature,2023-02-02 13:21:15.242577
98.6,BSM_G101,Temperature,2023-02-02 13:21:30.242766
102.1,BSM_G101,Temperature,2023-02-02 13:21:45.240853
98.3,BSM_G101,Temperature,2023-02-02 13:22:00.242514
101.7,BSM_G101,Temperature,2023-02-02 13:22:15.243546
99.4,BSM_G101,Temperature,2023-02-02 13:22:30.240599
96.5,BSM_G101,Temperature,2023-02-02 13:22:45.241738
98.1,BSM_G101,Temperature,2023-02-02 13:23:00.244484
97.9,BSM_G101,Temperature,2023-02-02 13:23:15.244528
97.2,BSM_G101,Temperature,2023-02-02 13:23:30.244480
99,BSM_G101,Temperature,2023-02-02 13:23:45.241391
97.8,BSM_G101,Temperature,2023-02-02 13:24:00.240371
98.1,BSM_G101,Temperature,2023-02-02 13:24:15.244491
98.1,BSM_G101,Temperature,2023-02-02 13:24:30.243766
97.9,BSM_G101,Temperature,2023-02-02 13:24:45.244422
101.9,BSM_G101,Temperature,2023-02-02 13:25:00.240878
98.7,BSM_G101,Temperature,2023-02-02 13:25:15.241059
98.9,BSM_G101,Temperature,2023-02-02 13:25:30.244480
97.9,BSM_G101,Temperature,2023-02-02 13:25:45.243449
97.3,BSM_G101,Temperature,2023-02-02 13:26:00.244482
101.3,BSM_G101,Temperature,2023-02-02 13:26:15.244507
97.1,BSM_G101,Temperature,2023-02-02 13:26:30.244484
97.4,BSM_G101,Temperature,2023-02-02 13:26:45.244485
100.6,BSM_G101,Temperature,2023-02-02 13:27:00.244592
99.5,BSM_G101,Temperature,2023-02-02 13:27:15.241196
99.6,BSM_G101,Temperature,2023-02-02 13:27:30.244478
99.1,BSM_G101,Temperature,2023-02-02 13:27:45.241123
98.6,BSM_G101,Temperature,2023-02-02 13:28:00.249484
99.9,BSM_G101,Temperature,2023-02-02 13:28:15.243609
102.8,BSM_G101,Temperature,2023-02-02 13:28:30.247504
99.5,BSM_G101,Temperature,2023-02-02 13:28:45.246342
100.2,BSM_G101,Temperature,2023-02-02 13:29:00.248343
97.2,BSM_G101,Temperature,2023-02-02 13:29:15.249004
101.5,BSM_G101,Temperature,2023-02-02 13:29:30.248950
98,BSM_G101,Temperature,2023-02-02 13:29:45.239627
97.4,BSM_G101,Temperature,2023-02-02 13:30:00.245668
99,BSM_G101,Temperature,2023-02-02 13:30:15.243995
99.4,BSM_G101,Temperature,2023-02-02 13:30:30.249479
97.9,BSM_G101,Temperature,2023-02-02 13:30:45.249477
101,BSM_G101,Temperature,2023-02-02 13:31:00.247316
99.3,BSM_G101,Temperature,2023-02-02 13:31:15.250376
98.1,BSM_G101,Temperature,2023-02-02 13:31:30.248233
100.3,BSM_G101,Temperature,2023-02-02 13:31:45.241845
99.5,BSM_G101,Temperature,2023-02-02 13:32:00.249543
98.3,BSM_G101,Temperature,2023-02-02 13:32:15.249516
101.2,BSM_G101,Temperature,2023-02-02 13:32:30.246614
97.9,BSM_G101,Temperature,2023-02-02 13:32:45.245099
98.9,BSM_G101,Temperature,2023-02-02 13:33:00.249452
100.3,BSM_G101,Temperature,2023-02-02 13:33:15.249496
98.8,BSM_G101,Temperature,2023-02-02 13:33:30.241743
99.8,BSM_G101,Temperature,2023-02-02 13:33:45.249494
99.2,BSM_G101,Temperature,2023-02-02 13:34:00.243804
98.9,BSM_G101,Temperature,2023-02-02 13:34:15.240385
102.5,BSM_G101,Temperature,2023-02-02 13:34:30.245908
97.8,BSM_G101,Temperature,2023-02-02 13:34:45.245253
98.4,BSM_G101,Temperature,2023-02-02 13:35:00.247550
96.3,BSM_G101,Temperature,2023-02-02 13:35:15.240450
101.6,BSM_G101,Temperature,2023-02-02 13:35:30.240336
101,BSM_G101,Temperature,2023-02-02 13:35:45.244496
97.2,BSM_G101,Temperature,2023-02-02 13:36:00.244502
98.1,BSM_G101,Temperature,2023-02-02 13:36:15.244493
100.5,BSM_G101,Temperature,2023-02-02 13:36:30.241769
99.6,BSM_G101,Temperature,2023-02-02 13:36:45.242452
100.2,BSM_G101,Temperature,2023-02-02 13:37:00.244328
96.2,BSM_G101,Temperature,2023-02-02 13:37:23.241541
101.6,BSM_G101,Temperature,2023-02-02 13:37:46.548260
100,BSM_G101,Temperature,2023-02-02 13:37:46.552162
99,BSM_G101,Temperature,2023-02-02 13:38:00.242161
98.2,BSM_G101,Temperature,2023-02-02 13:38:15.243636
98.7,BSM_G101,Temperature,2023-02-02 13:38:30.244488
97.3,BSM_G101,Temperature,2023-02-02 13:39:32.626690
95.9,BSM_G101,Temperature,2023-02-02 13:39:47.628646
99.7,BSM_G101,Temperature,2023-02-02 13:40:02.633893
98.7,BSM_G101,Temperature,2023-02-02 13:40:17.630085
98.3,BSM_G101,Temperature,2023-02-02 13:40:32.631748
101.7,BSM_G101,Temperature,2023-02-02 13:40:47.631842
98.2,BSM_G101,Temperature,2023-02-02 13:41:02.631271
97.5,BSM_G101,Temperature,2023-02-02 13:41:17.627773
97.9,BSM_G101,Temperature,2023-02-02 13:41:32.627735
100,BSM_G101,Temperature,2023-02-02 13:41:47.631808
97.2,BSM_G101,Temperature,2023-02-02 13:42:02.630706
99.7,BSM_G101,Temperature,2023-02-02 13:42:17.629715
99.2,BSM_G101,Temperature,2023-02-02 13:42:32.631824
100.7,BSM_G101,Temperature,2023-02-02 13:42:47.630292
97.6,BSM_G101,Temperature,2023-02-02 13:43:06.949029
98.4,BSM_G101,Temperature,2023-02-02 13:43:17.630685
99.1,BSM_G101,Temperature,2023-02-02 13:43:32.631736
101.1,BSM_G101,Temperature,2023-02-02 13:43:47.629825
97.1,BSM_G101,Temperature,2023-02-02 13:44:02.631779
98.5,BSM_G101,Temperature,2023-02-02 13:44:17.628617
99,BSM_G101,Temperature,2023-02-02 13:45:25.392955
