value,deviceid,datatype,timestamp
77,BSM_G102,SPO2,2023-02-02 13:05:33.026471
79,BSM_G102,SPO2,2023-02-02 13:05:43.029370
80,BSM_G102,SPO2,2023-02-02 13:05:53.029746
77,BSM_G102,SPO2,2023-02-02 13:06:03.036475
84,BSM_G102,SPO2,2023-02-02 13:06:13.029241
77,BSM_G102,SPO2,2023-02-02 13:06:23.028756
79,BSM_G102,SPO2,2023-02-02 13:06:33.028357
79,BSM_G102,SPO2,2023-02-02 13:06:43.027388
82,BSM_G102,SPO2,2023-02-02 13:06:53.028806
84,BSM_G102,SPO2,2023-02-02 13:07:03.227404
76,BSM_G102,SPO2,2023-02-02 13:07:13.027080
79,BSM_G102,SPO2,2023-02-02 13:07:23.030111
76,BSM_G102,SPO2,2023-02-02 13:07:33.225634
79,BSM_G102,SPO2,2023-02-02 13:07:43.026225
81,BSM_G102,SPO2,2023-02-02 13:07:53.029101
82,BSM_G102,SPO2,2023-02-02 13:08:03.220231
72,BSM_G102,SPO2,2023-02-02 13:08:13.028406
79,BSM_G102,SPO2,2023-02-02 13:08:23.026441
81,BSM_G102,SPO2,2023-02-02 13:08:33.236889
78,BSM_G102,SPO2,2023-02-02 13:08:43.028799
82,BSM_G102,SPO2,2023-02-02 13:08:53.028249
76,BSM_G102,SPO2,2023-02-02 13:09:03.219195
78,BSM_G102,SPO2,2023-02-02 13:09:13.030940
84,BSM_G102,SPO2,2023-02-02 13:09:23.030700
80,BSM_G102,SPO2,2023-02-02 13:09:33.219645
75,BSM_G102,SPO2,2023-02-02 13:09:43.028702
79,BSM_G102,SPO2,2023-02-02 13:09:53.030344
81,BSM_G102,SPO2,2023-02-02 13:10:03.299155
83,BSM_G102,SPO2,2023-02-02 13:10:13.029705
81,BSM_G102,SPO2,2023-02-02 13:10:23.025912
79,BSM_G102,SPO2,2023-02-02 13:10:33.235307
79,BSM_G102,SPO2,2023-02-02 13:10:43.025821
84,BSM_G102,SPO2,2023-02-02 13:10:53.025889
82,BSM_G102,SPO2,2023-02-02 13:11:03.239083
83,BSM_G102,SPO2,2023-02-02 13:11:13.029300
83,BSM_G102,SPO2,2023-02-02 13:11:23.028557
77,BSM_G102,SPO2,2023-02-02 13:11:33.231214
83,BSM_G102,SPO2,2023-02-02 13:11:43.029051
80,BSM_G102,SPO2,2023-02-02 13:11:53.028056
79,BSM_G102,SPO2,2023-02-02 13:12:03.218396
74,BSM_G102,SPO2,2023-02-02 13:12:13.028698
79,BSM_G102,SPO2,2023-02-02 13:12:23.030066
79,BSM_G102,SPO2,2023-02-02 13:12:33.225540
84,BSM_G102,SPO2,2023-02-02 13:12:43.026266
76,BSM_G102,SPO2,2023-02-02 13:12:53.030948
81,BSM_G102,SPO2,2023-02-02 13:13:03.215855
85,BSM_G102,SPO2,2023-02-02 13:13:13.030946
79,BSM_G102,SPO2,2023-02-02 13:13:23.025991
80,BSM_G102,SPO2,2023-02-02 13:13:33.216460
83,BSM_G102,SPO2,2023-02-02 13:13:43.025857
83,BSM_G102,SPO2,2023-02-02 13:13:53.026927
79,BSM_G102,SPO2,2023-02-02 13:14:03.264664
84,BSM_G102,SPO2,2023-02-02 13:14:13.029717
79,BSM_G102,SPO2,2023-02-02 13:14:23.029073
80,BSM_G102,SPO2,2023-02-02 13:14:33.222087
75,BSM_G102,SPO2,2023-02-02 13:14:43.030693
82,BSM_G102,SPO2,2023-02-02 13:14:53.030947
82,BSM_G102,SPO2,2023-02-02 13:15:03.227180
75,BSM_G102,SPO2,2023-02-02 13:15:13.029733
82,BSM_G102,SPO2,2023-02-02 13:15:23.029033
82,BSM_G102,SPO2,2023-02-02 13:15:33.219469
80,BSM_G102,SPO2,2023-02-02 13:15:43.030951
81,BSM_G102,SPO2,2023-02-02 13:15:53.030817
80,BSM_G102,SPO2,2023-02-02 13:16:03.220764
78,BSM_G102,SPO2,2023-02-02 13:16:13.030047
